zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips
91790,34.06722,-117.93788,West Covina,CA,California,TRUE,NA,44601,2992,6037
91791,34.06134,-117.89425,West Covina,CA,California,TRUE,NA,33314,1936.5,6037
91792,34.02586,-117.89989,West Covina,CA,California,TRUE,NA,29806,2995.7,6037
91801,34.09093,-118.12776,Alhambra,CA,California,TRUE,NA,54161,4836.2,6037
91803,34.0749,-118.14624,Alhambra,CA,California,TRUE,NA,30093,3564.2,6037
91901,32.81467,-116.71929,Alpine,CA,California,TRUE,NA,17896,88.7,6073
91902,32.67479,-117.00475,Bonita,CA,California,TRUE,NA,17760,611.3,6073
91905,32.67773,-116.30734,Boulevard,CA,California,TRUE,NA,1665,7.7,6073
91906,32.66241,-116.47255,Campo,CA,California,TRUE,NA,4327,15.9,6073
91910,32.63653,-117.06301,Chula Vista,CA,California,TRUE,NA,74233,2277.1,6073
91911,32.60686,-117.04984,Chula Vista,CA,California,TRUE,NA,88593,2687.5,6073
